iter	Passed	Remaining
910	3728	364
911	3732	360
912	3737	356
913	3742	352
914	3746	348
915	3750	343
916	3755	339
917	3759	335
918	3763	331
919	3767	327
920	3771	323
921	3775	319
922	3779	315
923	3783	311
924	3787	307
925	3792	303
926	3796	298
927	3801	294
928	3805	290
929	3809	286
930	3813	282
931	3819	278
932	3824	274
933	3829	270
934	3835	266
935	3839	262
936	3843	258
937	3848	254
938	3853	250
939	3857	246
940	3862	242
941	3867	238
942	3871	234
943	3876	229
944	3880	225
945	3885	221
946	3889	217
947	3896	213
948	3900	209
949	3904	205
950	3909	201
951	3914	197
952	3919	193
953	3924	189
954	3928	185
955	3932	180
956	3935	176
957	3939	172
958	3943	168
959	3947	164
960	3951	160
961	3956	156
962	3961	152
963	3965	148
964	3969	143
965	3973	139
966	3977	135
967	3981	131
968	3986	127
969	3990	123
970	3994	119
971	3998	115
972	4002	111
973	4007	106
974	4011	102
975	4017	98
976	4022	94
977	4027	90
978	4032	86
979	4036	82
980	4040	78
981	4045	74
982	4050	70
983	4055	65
984	4060	61
985	4065	57
986	4069	53
987	4074	49
988	4079	45
989	4084	41
990	4088	37
991	4092	33
992	4099	28
993	4103	24
994	4107	20
995	4112	16
996	4116	12
997	4120	8
998	4126	4
999	4130	0
